ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: slide_template","Meta: _dt_sidebar_position","Meta: _dt_sidebar_widgetarea_id","Meta: _dt_sidebar_hide_on_mobile","Meta: _dt_footer_show","Meta: _dt_footer_widgetarea_id","Meta: _dt_footer_hide_on_mobile","Meta: _dt_header_title","Meta: _dt_header_background","Meta: _dt_header_background_below_slideshow","Meta: _dt_header_transparent_bg_color_scheme","Meta: _dt_header_transparent_top_bar_bg_color","Meta: _dt_header_transparent_top_bar_bg_opacity","Meta: _dt_header_transparent_bg_color","Meta: _dt_header_transparent_bg_opacity","Meta: _dt_header_disabled_background","Meta: _dt_header_disabled_transparent_bg_color_scheme","Meta: _dt_header_disabled_transparent_top_bar_bg_color","Meta: _dt_header_disabled_transparent_top_bar_bg_opacity","Meta: _dt_header_disabled_transparent_bg_color","Meta: _dt_header_disabled_transparent_bg_opacity","Meta: _dt_page_overrides_top_margin","Meta: _dt_page_overrides_bottom_margin","Meta: _wp_page_template","Meta: rs_page_bg_color","Meta: _dt_page_overrides_right_margin","Meta: _dt_page_overrides_left_margin","Meta: _dt_mobile_page_padding_top","Meta: _dt_mobile_page_padding_right","Meta: _dt_mobile_page_padding_bottom","Meta: _dt_mobile_page_padding_left"
2071,simple,,,"465mm x 700mm Winchester Mirror",1,0,visible,"<h4>465mm x 700mm Winchester Mirror</h4>","465mm x 700mm Winchester Mirror",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/07/465mm-x-700mm-Winchester-Mirror-1.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2150,simple,,,"Baron Art Grey Wash 1200 x 900",1,0,visible,"<h4>Baron Art Grey Wash 1200 x 900</h4>","Baron Art Grey Wash 1200 x 900",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Baron-Art-Grey-Wash-1200-x-900.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2151,simple,,,"Cafe Classic Grey Wash 1300 by 900mm",1,0,visible,"<h4>Cafe Classic Grey Wash 1300 by 900mm</h4>","Cafe Classic Grey Wash 1300 by 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Cafe-Classic-Grey-Wash-1300-by-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2154,simple,,,"Carving Lebar Grey Wash 1200 x 900mm",1,0,visible,"<h4>Carving Lebar Grey Wash 1200 x 900mm</h4>","Carving Lebar Grey Wash 1200 x 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Carving-Lebar-Grey-Wash-1200-x-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2156,simple,,,"Carving Lebar Silver 1200 by 900mm",1,0,visible,"<h4>Carving Lebar Silver 1200 by 900mm</h4>","Carving Lebar Silver 1200 by 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Carving-Lebar-Silver-1200-by-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2159,simple,,,"Colonial Classic Brown 650 by 800",1,0,visible,"<h4>Carving Lebar Silver 1200 by 900mm</h4>","Colonial Classic Brown 650 by 800",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Colonial-Classic-Brown-650-by-800.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2162,simple,,,"Colonial Classic Grey Wash 650 by 800mm",1,0,visible,"<h4>Colonial Classic Grey Wash 650 by 800mm</h4>","Colonial Classic Grey Wash 650 by 800mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Colonial-Classic-Grey-Wash-650-by-800mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2165,simple,,,"Colonial Classic Grey Wash 1200 by 900mm",1,0,visible,"<h4>Colonial Classic Grey Wash 1200 by 900mm</h4>","Colonial Classic Grey Wash 1200 by 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Colonial-Classic-Grey-Wash-1200-by-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2171,simple,,,"Edgecombe Black 1500 by 900mm",1,0,visible,"<h4>Edgecombe Black 1500 by 900mm</h4>","Edgecombe Black 1500 by 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Edgecombe-Black-1500-by-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
2175,simple,,,"Edgecome Silver 1500 by 900mm",1,0,visible,"<h4>Edgecome Silver 1500 by 900mm</h4>","Edgecome Silver 1500 by 900mm",,,taxable,,1,,,0,0,,,,,1,,,,Mirrors,,,https://showerhaus.co.za/wp-content/uploads/2019/08/Edgecome-Silver-1500-by-900mm.jpg,,,,,,,,,0,,,left,sidebar_4,0,1,sidebar_2,0,enabled,normal,disabled,light,#ffffff,25,#000000,50,normal,light,#ffffff,25,#000000,50,,,,,,,,,,
